Tendency,TOP1,JG1,MID1,AD1,SUP1,TOP2,JG2,MID2,AD2,SUP2,melee_number,MeanKills,killsat10,killsat15,numberofgames
18,1.75,1.5,0.75,-2.0,-1.0,0,20.0,0.25,0.0,10
20,-0.75,-0.25,0.0,-1.25,0.375,0,20.0,1.25,3.0,10
21,0.0,2.0,0.75,1.6875,0.0,0,23.25,2.25,2.25,10
32,0.0,2.0,0.5,1.6875,1.1875,1,23.25,-0.75,1.25,10
19,0.0,1.0,0.0,-0.5,1.8125,1,19.5,-2.0,-2.0,10
22,1.75,-0.25,0.5,0.75,1.75,2,19.5,1.0,0.0,10
31,0.5,2.0,0.0,1.125,2.0,2,22.25,5.25,2.25,10
29,0.25,1.75,1.5,0.5,-1.125,1,22.25,1.25,2.25,10
36,0.0,1.5,0.0,2.1875,1.5,2,22.25,4.25,9.25,10
34,0.5,0.125,0.75,1.6875,0.375,3,20.0,0.25,-2.75,10
21,0.25,-0.5,0.75,-0.25,0.9375,2,20.0,-1.75,-2.75,10
37,0.5,2.0,0.5,2.1875,2.1875,3,20.5,0.25,0.75,10
31,1.75,2.0,0.0,1.6875,0.375,1,20.5,1.25,2.75,10
24,0.5,1.75,0.5,0.9375,1.0,1,22.0,-2.5,-3.25,10
34,0.0,1.75,1.0,1.3125,1.125,3,22.0,1.5,7.75,10
24,1.75,2.0,0.75,-0.8125,-0.25,1,19.0,-0.25,0.0,10
18,1.5,2.0,0.75,0.5,1.625,1,19.0,-2.25,-4.0,10
37,1.75,0.125,0.0,0.25,-1.25,1,19.0,0.75,6.0,10
19,-0.5,-0.5,-0.5,1.0,1.0,2,21.0,0.0,-1.75,10
26,0.0,1.0,0.5,1.3125,0.875,2,21.0,2.0,-0.75,10
16,1.75,-0.25,0.0,1.5,1.0,1,24.75,-3.0,-1.25,10
20,0.5,1.0,0.5,1.6875,1.25,2,24.75,3.0,1.75,10
25,0.0,2.0,1.75,0.625,1.25,2,24.75,-2.5,-2.5,10
23,0.25,2.0,0.5,1.3125,1.25,2,24.75,2.5,-0.5,10
25,-0.5,0.125,0.75,1.1875,0.625,3,21.5,-2.25,-1.25,10
14,0.0,1.5,0.5,0.1875,0.0,1,21.5,-0.25,-0.25,10
27,0.0,2.0,0.75,1.5,1.5,2,21.5,-2.25,3.75,10
23,0.0,-0.25,0.5,1.3125,2.1875,2,21.75,-0.25,-0.5,10
24,0.0,1.75,1.75,0.5,1.25,2,21.75,0.75,2.5,10
45,1.75,0.125,0.5,0.5,-2.125,1,21.75,0.75,4.5,10
15,1.5,1.75,0.0,1.6875,0.375,1,23.5,-2.75,-2.75,10
33,1.75,2.0,0.0,1.125,1.0,1,23.5,3.25,6.25,10
22,0.5,1.0,0.0,-0.125,0.625,1,24.0,-0.5,3.5,10
25,1.75,1.5,0.5,1.6875,1.1875,1,24.0,1.5,4.5,10
11,1.75,-0.5,0.5,1.0,0.125,1,24.5,-2.25,-5.0,10
18,0.0,2.0,0.0,-1.875,-1.0,-1,24.5,-1.25,-1.0,10
23,0.0,-0.5,0.5,1.6875,0.375,2,22.5,-2.75,1.25,10
23,0.0,1.5,0.0,1.25,1.125,1,22.5,-2.75,-3.75,10
30,1.75,1.5,0.5,1.125,1.3125,2,22.5,-0.75,2.25,10
42,-0.5,-0.25,0.5,1.3125,1.25,2,21.5,5.75,6.75,10
20,0.0,1.75,1.0,1.9375,0.625,3,21.5,-0.25,-1.25,10
19,0.0,1.75,1.5,1.3125,0.75,2,21.5,-1.25,-2.25,10
12,0.5,0.25,0.5,1.6875,1.4375,1,22.0,-1.25,-3.0,10
28,0.5,-0.5,0.5,0.625,1.75,1,22.0,1.75,2.0,10
23,1.75,0.125,0.5,1.3125,1.3125,2,24.0,1.5,0.0,10
24,0.0,-0.5,0.0,0.9375,1.25,2,24.0,2.5,3.0,10
25,1.75,1.5,0.5,1.3125,0.9375,1,24.0,-0.5,-2.0,10
28,1.75,1.0,1.5,1.5,1.6875,2,23.0,-1.25,5.0,10
